key,flightNumber,scheduledDeparture,scheduledArrival,duration,status,key:departureAirport,key:arrivalAirport,key:aircraft,key:flight
leg-01,AB1234,2025/09/01 08:00,2025/09/01 10:00,2.0,ON_TIME,airport-01,airport-02,aircraft-01,flight-01
leg-02,CD2345,2025/09/02 12:00,2025/09/02 14:30,2.5,DELAYED,airport-03,airport-04,aircraft-02,flight-02
leg-03,EF3456,2025/09/03 06:00,2025/09/03 09:00,3.0,CANCELLED,airport-05,airport-06,aircraft-03,flight-03
leg-04,GH4567,2025/09/04 16:00,2025/09/04 18:00,2.0,LANDED,airport-07,airport-08,aircraft-04,flight-04
leg-05,IJ5678,2025/09/05 07:30,2025/09/05 10:00,2.5,ON_TIME,airport-09,airport-10,aircraft-05,flight-05
leg-06,KL6789,2025/09/06 11:00,2025/09/06 13:00,2.0,DELAYED,airport-01,airport-03,aircraft-06,flight-01
leg-07,MN7890,2025/09/07 14:00,2025/09/07 17:00,3.0,ON_TIME,airport-04,airport-05,aircraft-07,flight-02
leg-08,OP8901,2025/09/08 05:00,2025/09/08 07:30,2.5,LANDED,airport-06,airport-07,aircraft-08,flight-03
leg-09,QR9012,2025/09/09 19:00,2025/09/09 21:00,2.0,CANCELLED,airport-08,airport-09,aircraft-09,flight-04
leg-10,ST0123,2025/09/10 09:00,2025/09/10 11:00,2.0,ON_TIME,airport-10,airport-01,aircraft-10,flight-05
