key,key:flight,key:customer,locatorCode,purchaseMoment,travelClass,lastNibble,isPublished
# BASE
booking-00,flight-09,customer-01,ABC123,2023/02/28 23:59,ECONOMY,4362,false
# LOCATORCODE
booking-01,flight-09,customer-01,FSD854,2023/02/28 23:59,ECONOMY,,false
booking-02,flight-06,customer-01,D6V9L0,2023/02/28 23:59,ECONOMY,,false
booking-03,flight-03,customer-02,QWERTY,2023/02/28 23:59,ECONOMY,,false
booking-04,flight-03,customer-01,123456,2023/02/28 23:59,ECONOMY,,false
booking-05,flight-09,customer-01,ABCDEFGH,2023/02/28 23:59,ECONOMY,,false
booking-06,flight-03,customer-02,12345678,2023/02/28 23:59,ECONOMY,,false
booking-07,flight-03,customer-01,A1B2C3D4,2023/02/28 23:59,ECONOMY,,false
# PURCHASEMOMENT
booking-08,flight-06,customer-02,DEF456,2000/01/01 00:00,BUSINESS,,false
booking-09,flight-06,customer-02,GHI789,2024/06/15 12:30,BUSINESS,,false
booking-10,flight-09,customer-01,JKL512,1900/01/01 00:00,BUSINESS,,false
booking-11,flight-03,customer-01,JKL712,1900/01/01 00:01,BUSINESS,,false
booking-12,flight-09,customer-02,JKL912,2025/01/01 00:00,BUSINESS,,false
booking-13,flight-09,customer-02,JKL3212,2024/12/31 23:59,BUSINESS,,false
# PRICE-TRAVELCLASS
booking-14,flight-04,customer-02,MNO345,2024/12/31 23:59,ECONOMY,,false
booking-15,flight-04,customer-01,PQR678,2024/12/31 23:59,BUSINESS,,false
booking-16,flight-04,customer-01,STU901,2024/12/31 23:59,ECONOMY,,false
booking-17,flight-04,customer-01,VWX234,2024/12/31 23:59,ECONOMY,,false
# LASTNIBBLE
booking-18,flight-06,customer-02,EFG123,2024/12/31 23:59,ECONOMY,,false
booking-19,flight-09,customer-02,HIJ456,2024/12/31 23:59,ECONOMY,,false
booking-20,flight-03,customer-02,KLM789,2024/12/31 23:59,ECONOMY,,false
