key,key:booking,key:passenger
bookingRecord-01,booking-01,passenger-01
bookingRecord-02,booking-02,passenger-02
bookingRecord-03,booking-03,passenger-03
bookingRecord-04,booking-04,passenger-04
bookingRecord-05,booking-05,passenger-38
bookingRecord-06,booking-06,passenger-06
bookingRecord-07,booking-07,passenger-36
bookingRecord-08,booking-08,passenger-08
bookingRecord-09,booking-09,passenger-39
bookingRecord-10,booking-10,passenger-35
bookingRecord-11,booking-11,passenger-11
bookingRecord-12,booking-12,passenger-37
bookingRecord-13,booking-13,passenger-32
bookingRecord-14,booking-14,passenger-14
bookingRecord-15,booking-15,passenger-15
bookingRecord-16,booking-16,passenger-01
bookingRecord-17,booking-17,passenger-17
bookingRecord-18,booking-18,passenger-18
bookingRecord-19,booking-19,passenger-03
bookingRecord-20,booking-20,passenger-20
bookingRecord-21,booking-01,passenger-21
bookingRecord-22,booking-01,passenger-04
bookingRecord-23,booking-01,passenger-23
bookingRecord-24,booking-02,passenger-24
bookingRecord-25,booking-02,passenger-30
bookingRecord-26,booking-02,passenger-29
bookingRecord-27,booking-02,passenger-01

