key,key:manager,key:flight,key:departure,key:arrival,key:aircraft,flightNumber,scheduledDeparture,scheduledArrival,status,draftMode
leg-01,manager-01,flight-01,airport-01,airport-02,aircraft-01,IBX1234,1900/01/01 00:00,1900/01/01 04:00,CANCELLED,True
leg-02,manager-01,flight-01,airport-03,airport-04,aircraft-01,IBX0000,2005/06/15 12:00,2005/06/15 16:00,ON_TIME,True
leg-03,manager-02,flight-02,airport-03,airport-04,aircraft-01,IBX9999,2007/09/10 08:45,2007/09/10 12:45,DELAYED,False
leg-04,manager-02,flight-02,airport-03,airport-04,aircraft-02,IBX3474,2009/03/03 23:30,2009/03/04 03:30,LANDED,False
leg-05,manager-02,flight-02,airport-03,airport-04,aircraft-02,IBX7894,2015/11/21 06:10,2015/11/21 10:10,ON_TIME,True
leg-06,manager-01,flight-03,airport-03,airport-04,aircraft-07,LHX7895,2019/12/30 10:00,2019/12/30 14:00,DELAYED,False
leg-07,manager-01,flight-03,airport-01,airport-02,aircraft-05,IBX7895,2023/01/01 07:00,2023/01/01 11:00,CANCELLED,False
leg-08,manager-01,flight-03,airport-03,airport-04,aircraft-05,IBX0001,2025/05/23 11:39,2025/05/23 15:39,ON_TIME,False
leg-09,manager-02,flight-04,airport-03,airport-04,aircraft-05,IBX9998,2025/05/25 11:39,2025/05/25 15:39,DELAYED,False
leg-10,manager-02,flight-04,airport-03,airport-04,aircraft-02,IBX6574,2026/04/14 15:00,2026/04/14 19:00,LANDED,False
leg-12,manager-02,flight-04,airport-03,airport-04,aircraft-06,IBX7896,2030/08/19 01:00,2030/08/19 05:00,ON_TIME,False
leg-13,manager-01,flight-05,airport-03,airport-04,aircraft-06,IBX7006,2035/10/23 11:20,2035/10/23 15:20,DELAYED,True
leg-14,manager-01,flight-07,airport-01,airport-02,aircraft-05,IBX7634,2040/07/07 20:00,2040/07/08 00:00,CANCELLED,False
leg-15,manager-01,flight-07,airport-03,airport-04,aircraft-07,LHX1200,2060/06/15 04:40,2060/06/15 08:40,ON_TIME,True
leg-16,manager-02,flight-08,airport-03,airport-04,aircraft-05,IBX9789,2070/09/21 17:30,2070/09/21 21:30,DELAYED,True
leg-17,manager-02,flight-08,airport-03,airport-04,aircraft-02,IBX0074,2080/12/01 13:15,2080/12/01 17:15,LANDED,True
leg-18,manager-02,flight-08,airport-03,airport-04,aircraft-06,IBX6896,2100/01/01 00:00,2100/01/01 04:00,ON_TIME,True
leg-19,manager-02,flight-06,airport-03,airport-04,aircraft-06,IBX7890,2133/05/05 14:00,2133/05/05 18:00,DELAYED,False
leg-20,manager-02,flight-06,airport-03,airport-04,aircraft-06,IBX8896,2150/02/02 22:00,2150/02/03 02:00,CANCELLED,False
leg-21,manager-02,flight-06,airport-03,airport-04,aircraft-06,IBX5096,2175/07/07 05:00,2175/07/07 09:00,ON_TIME,False
leg-22,manager-01,flight-09,airport-03,airport-04,aircraft-06,IBX5296,2180/10/10 19:00,2180/10/10 23:00,LANDED,False
leg-23,manager-01,flight-09,airport-03,airport-04,aircraft-06,IBX5396,2200/12/31 19:59,2200/12/31 23:59,LANDED,False
