key,key:airport,date,tempMax,tempMin,feelsLikeMax,feelsLikeMin,humidity,windSpeed,windGust,windDirection,precipProbability,conditions
weather-conditions-01,airport-01,2024/09/01 00:00,32.0,22.0,33.0,21.0,40.0,10.0,15.0,90.0,5.0,"Clear"
weather-conditions-02,airport-02,2024/09/01 00:00,30.5,20.0,31.0,19.5,45.0,8.0,12.0,100.0,10.0,"Partly Cloudy"
weather-conditions-03,airport-03,2024/09/01 00:00,28.0,18.0,28.5,17.5,50.0,9.0,13.0,110.0,15.0,"Cloudy"
weather-conditions-04,airport-04,2024/09/02 00:00,26.0,16.0,26.5,15.0,60.0,7.0,10.0,120.0,20.0,"Overcast"
weather-conditions-05,airport-05,2024/09/02 00:00,27.5,17.5,28.0,17.0,55.0,8.5,11.0,130.0,25.0,"Light Rain"
weather-conditions-06,airport-06,2024/09/02 00:00,29.0,19.0,29.5,18.0,50.0,10.0,14.0,140.0,5.0,"Sunny"
weather-conditions-07,airport-07,2024/09/03 00:00,25.0,15.0,25.5,14.0,65.0,12.0,16.0,150.0,30.0,"Drizzle"
weather-conditions-08,airport-08,2024/09/03 00:00,24.0,14.0,24.5,13.0,70.0,9.0,13.0,160.0,35.0,"Mist"
weather-conditions-09,airport-09,2024/09/03 00:00,23.0,13.0,23.5,12.0,75.0,11.0,15.0,170.0,40.0,"Foggy"
weather-conditions-10,airport-02,2024/09/04 00:00,31.0,21.0,31.5,20.0,42.0,10.0,15.0,80.0,8.0,"Clear"
weather-conditions-11,airport-03,2024/09/04 00:00,29.5,19.5,30.0,18.5,48.0,9.0,13.0,90.0,12.0,"Partly Cloudy"
weather-conditions-12,airport-04,2024/09/04 00:00,27.0,17.0,27.5,16.0,55.0,11.0,14.0,100.0,18.0,"Cloudy"
weather-conditions-13,airport-05,2024/09/05 00:00,28.0,18.0,28.5,17.0,50.0,10.0,12.0,110.0,10.0,"Sunny"
weather-conditions-14,airport-06,2024/09/05 00:00,26.5,16.5,27.0,15.5,58.0,8.0,11.0,120.0,20.0,"Overcast"
weather-conditions-15,airport-07,2024/09/05 00:00,25.5,15.5,26.0,14.5,62.0,7.5,10.5,130.0,15.0,"Partly Cloudy"
weather-conditions-16,airport-03,2024/09/06 00:00,30.0,20.0,30.5,19.5,45.0,12.0,16.0,85.0,5.0,"Clear"
weather-conditions-17,airport-04,2024/09/06 00:00,28.0,18.0,28.5,17.5,50.0,9.0,13.0,95.0,10.0,"Sunny"
weather-conditions-18,airport-01,2024/09/07 00:00,33.0,23.0,33.5,22.5,38.0,11.0,15.0,70.0,5.0,"Clear"
weather-conditions-19,airport-02,2024/09/07 00:00,32.5,22.5,33.0,22.0,40.0,10.0,14.0,75.0,8.0,"Partly Cloudy"
weather-conditions-20,airport-05,2024/09/07 00:00,29.0,19.0,29.5,18.0,47.0,9.0,12.0,80.0,12.0,"Cloudy"
weather-conditions-21,airport-06,2024/09/07 00:00,27.5,17.5,28.0,16.5,52.0,8.0,11.0,85.0,15.0,"Overcast"
weather-conditions-22,airport-04,2024/09/08 00:00,30.0,20.0,30.5,19.0,44.0,10.0,14.0,90.0,7.0,"Clear"
weather-conditions-23,airport-07,2024/09/08 00:00,26.0,16.0,26.5,15.5,55.0,7.0,10.0,100.0,10.0,"Sunny"
weather-conditions-24,airport-08,2024/09/08 00:00,25.0,15.0,25.5,14.0,60.0,8.0,11.0,110.0,12.0,"Partly Cloudy"
weather-conditions-25,airport-09,2024/09/08 00:00,24.5,14.5,25.0,13.5,63.0,9.0,12.0,115.0,18.0,"Cloudy"
weather-conditions-26,airport-10,2024/09/09 00:00,28.0,18.0,28.5,17.0,50.0,12.0,16.0,80.0,10.0,"Clear"
weather-conditions-27,airport-01,2024/09/09 00:00,31.0,21.0,31.5,20.0,46.0,11.0,15.0,85.0,9.0,"Partly Cloudy"
weather-conditions-28,airport-04,2024/09/09 00:00,29.0,19.0,29.5,18.0,48.0,10.0,13.0,90.0,8.0,"Sunny"
weather-conditions-29,airport-06,2024/09/09 00:00,27.0,17.0,27.5,16.0,52.0,9.0,12.0,95.0,11.0,"Overcast"
weather-conditions-30,airport-02,2024/09/10 00:00,32.0,22.0,32.5,21.0,43.0,10.0,14.0,75.0,7.0,"Clear"
weather-conditions-31,airport-03,2024/09/10 00:00,30.0,20.0,30.5,19.0,47.0,9.0,13.0,80.0,10.0,"Partly Cloudy"
weather-conditions-32,airport-05,2024/09/10 00:00,28.5,18.5,29.0,17.5,50.0,8.0,12.0,85.0,12.0,"Cloudy"
weather-conditions-33,airport-06,2024/09/11 00:00,26.0,16.0,26.5,15.0,55.0,7.0,10.0,100.0,15.0,"Rain"
weather-conditions-34,airport-07,2024/09/11 00:00,27.0,17.0,27.5,16.0,50.0,8.0,11.0,90.0,10.0,"Clear"
weather-conditions-35,airport-10,2024/09/11 00:00,29.0,19.0,29.5,18.0,45.0,10.0,14.0,85.0,9.0,"Sunny"
weather-conditions-36,airport-03,2024/09/12 00:00,31.0,21.0,31.5,20.0,42.0,11.0,15.0,80.0,8.0,"Clear"
weather-conditions-37,airport-05,2024/09/12 00:00,30.0,20.0,30.5,19.0,44.0,10.0,14.0,85.0,7.0,"Partly Cloudy"
weather-conditions-38,airport-08,2024/09/12 00:00,28.0,18.0,28.5,17.0,46.0,9.0,13.0,90.0,10.0,"Cloudy"
weather-conditions-39,airport-04,2024/09/13 00:00,29.5,19.5,30.0,18.5,47.0,10.0,14.0,95.0,8.0,"Clear"
weather-conditions-40,airport-06,2024/09/13 00:00,27.5,17.5,28.0,16.5,50.0,9.0,13.0,100.0,10.0,"Partly Cloudy"
weather-conditions-41,airport-09,2024/09/13 00:00,26.0,16.0,26.5,15.5,52.0,8.0,12.0,105.0,12.0,"Cloudy"
