key,registrationMoment,typeOfIncident,description,severityLevel,key:flightAssignment


log-01,2002/07/30 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,flightAssignment-01


log-02,2000/02/01 11:01,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-03,2000/02/01 11:02,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-04,2024/12/31 23:59,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-05,2025/01/01 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,flightAssignment-01


log-06,2002/07/30 00:00,L,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-07,2002/07/30 00:00,Lo,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-08,2002/07/30 00:00,"Lorem ipsum dolor sit amet consectetur adipiscin",Lorem ipsum dolor sit ame,5,flightAssignment-01
log-09,2002/07/30 00:00,"Lorem ipsum dolor sit amet consectetur adipiscing",Lorem ipsum dolor sit ame,5,flightAssignment-01
log-10,2002/07/30 00:00,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-11,2002/07/30 00:00,لوريم إيبسوم,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-12,2002/07/30 00:00,洛伦·伊普森,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-13,2002/07/30 00:00,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-14,2002/07/30 00:00,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,5,flightAssignment-01
log-15,2002/07/30 00:00,' or 'A' = 'A,Lorem ipsum dolor sit ame,5,flightAssignment-01


log-16,2002/07/30 00:00,Lorem ipsum dolor sit ame,L,5,flightAssignment-01
log-17,2002/07/30 00:00,Lorem ipsum dolor sit ame,Lo,5,flightAssignment-01
log-18,2002/07/30 00:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5,flightAssignment-01
log-19,2002/07/30 00:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5,flightAssignment-01
log-20,2002/07/30 00:00,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,5,flightAssignment-01
log-21,2002/07/30 00:00,Lorem ipsum dolor sit ame,لوريم إيبسوم,5,flightAssignment-01
log-22,2002/07/30 00:00,Lorem ipsum dolor sit ame,洛伦·伊普森,5,flightAssignment-01
log-23,2002/07/30 00:00,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,5,flightAssignment-01
log-24,2002/07/30 00:00,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,5,flightAssignment-01
log-25,2002/07/30 00:00,Lorem ipsum dolor sit ame,' or 'A' = 'A,5,flightAssignment-01


log-26,2002/07/30 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,0,flightAssignment-01
log-27,2002/07/30 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,1,flightAssignment-01
log-28,2002/07/30 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,9,flightAssignment-01
log-29,2002/07/30 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,10,flightAssignment-01

log-30,2002/07/30 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,flightAssignment-01
