key,key:aircraft,key:technician
aircraftTechnician-01,aircraft-01,technician-01
aircraftTechnician-02,aircraft-02,technician-02
aircraftTechnician-03,aircraft-03,technician-03
aircraftTechnician-04,aircraft-04,technician-04
aircraftTechnician-05,aircraft-05,technician-05
aircraftTechnician-06,aircraft-06,technician-06
aircraftTechnician-07,aircraft-07,technician-07
aircraftTechnician-08,aircraft-08,technician-08
aircraftTechnician-09,aircraft-09,technician-09
aircraftTechnician-10,aircraft-10,technician-010
aircraftTechnician-11,aircraft-11,technician-011
aircraftTechnician-12,aircraft-01,technician-012
aircraftTechnician-13,aircraft-02,technician-013
aircraftTechnician-14,aircraft-03,technician-014
