key,lastUpdateMoment,step,resolutionPercentage,accepted,resolution,key:claim
tracking-logs-01,2024/09/03 08:30,Se ha recibido la reclamación,25,false,,claim-01
tracking-logs-02,2024/09/03 12:00,Se está trabajando en la reclamación,50,false,"",claim-01
tracking-logs-03,2024/09/03 12:00,Se ha resuelto la reclamación,100,true,"Se ofrece una compensación de 300€ por la pérdida del equipaje, de acuerdo con la normativa vigente. Además, se reembolsarán los gastos esenciales hasta un máximo de 100€, presentando los recibos correspondientes",claim-01
tracking-logs-04,2024/09/05 09:30,Se ha recibido la reclamación,25,false,,claim-02
tracking-logs-05,2024/09/05 10:40,Se está trabajando en la reclamación,50,false,,claim-02
tracking-logs-06,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-07,2000/01/01 0:00,Se ha resuelto la reclamación,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-08,2000/01/01 0:01,Se ha resuelto la reclamación,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-09,2024/12/31 23:59,Se ha resuelto la reclamación,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-10,2025/01/01 00:00,Se ha resuelto la reclamación,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-11,2024/09/05 11:00,L,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-12,2024/09/05 11:00,Lo,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-13,2024/09/05 11:00,"Lorem ipsum dolor sit amet,consectetur adipiscin",100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-14,2024/09/05 11:00,"Lorem ipsum dolor sit amet,consectetur adipiscing",100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-15,2024/09/05 11:00,โลเร็ม อิปซัม,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-16,2024/09/05 11:00,لوريم إيبسوم,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-17,2024/09/05 11:00,洛伦·伊普森,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-18,2024/09/05 11:00,<marquee>Hacked</marquee>,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-19,2024/09/05 11:00,<script>alert(‘Hacked!’);</script>,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-20,2024/09/05 11:00,' or 'A' = 'A,100,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-21,2024/09/05 11:00,Se ha resuelto la reclamación,0,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-22,2024/09/05 11:00,Se ha resuelto la reclamación,1,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-23,2024/09/05 11:00,Se ha resuelto la reclamación,99,true,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-24,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,L,claim-02
tracking-logs-25,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,Lo,claim-02
tracking-logs-26,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",claim-02
tracking-logs-27,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",claim-02
tracking-logs-28,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,โลเร็ม อิปซัม,claim-02
tracking-logs-29,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,لوريم إيبسوم,claim-02
tracking-logs-30,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,洛伦·伊普森,claim-02
tracking-logs-31,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,<marquee>Hacked</marquee>,claim-02
tracking-logs-32,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,<script>alert(‘Hacked!’);</script>,claim-02
tracking-logs-33,2024/09/05 11:00,Se ha resuelto la reclamación,100,true,' or 'A' = 'A,claim-02
