key,duty,moment,assignmentStatus,remarks,draftMode,key:member,key:leg
flightAssignment-01,PILOT,2012/07/02 0:00,CONFIRMED,First pilot of the flight,false,member-01,leg-01
flightAssignment-02,COPILOT,2000/01/01 0:00,CONFIRMED,Second in command,false,member-02,leg-01
flightAssignment-03,LEADATTENDANT,2000/01/01 0:01,CONFIRMED,Ensuring passenger safety,false,member-03,leg-01
flightAssignment-04,CABINATTENDANT,2024/12/31 23:59,CONFIRMED,Assisting passengers and crew,false,member-04,leg-01
flightAssignment-05,PILOT,2025/01/01 0:00,CONFIRMED,Experienced captain leading the flight,false,member-01,leg-02
flightAssignment-06,COPILOT,2024/03/12 09:35,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,member-02,leg-02
flightAssignment-07,COPILOT,2024/03/12 09:35,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,member-02,leg-02
flightAssignment-08,LEADATTENDANT,2024/03/12 09:40,CONFIRMED,L,false,member-03,leg-02
flightAssignment-09,CABINATTENDANT,2024/03/12 09:45,CONFIRMED,Lo,false,member-04,leg-02
flightAssignment-10,CABINATTENDANT,2024/03/13 08:15,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",false,member-03,leg-03
flightAssignment-11,PILOT,2024/03/13 08:20,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",false,member-01,leg-03
flightAssignment-13,COPILOT,2024/03/13 08:25,CONFIRMED,Monitoring flight systems,false,member-02,leg-03
flightAssignment-14,LEADATTENDANT,2024/03/13 08:30,CONFIRMED,Overseeing in-flight service,false,member-03,leg-03
flightAssignment-15,CABINATTENDANT,2024/03/14 07:50,CANCELLED,Flight assignment canceled due to schedule changes,false,member-04,leg-04
