key,flightNumber,scheduledDeparture,scheduledArrival,duration,status,key:departureAirport,key:arrivalAirport,key:aircraft,key:flight,draftMode
leg-01,FL1001,2024/09/01 08:00,2024/09/01 10:00,2.0,ON_TIME,airport-01,airport-02,aircraft-01,flight-01,false
leg-02,FL1002,2024/09/01 10:30,2024/09/01 12:00,1.5,ON_TIME,airport-02,airport-03,aircraft-02,flight-01,false
leg-03,FL2001,2024/09/02 09:00,2024/09/02 10:30,1.5,ON_TIME,airport-04,airport-05,aircraft-03,flight-02,true
leg-04,FL2002,2024/09/02 11:00,2024/09/02 12:30,1.5,DELAYED,airport-05,airport-06,aircraft-04,flight-02,true
leg-05,FL3001,2024/09/03 07:00,2024/09/03 08:45,1.75,ON_TIME,airport-07,airport-08,aircraft-07,flight-03,false
leg-06,FL3002,2024/09/03 09:15,2024/09/03 10:45,1.5,ON_TIME,airport-08,airport-09,aircraft-08,flight-03,false
leg-07,FL4001,2024/09/04 13:00,2024/09/04 14:30,1.5,ON_TIME,airport-02,airport-03,aircraft-09,flight-04,true
leg-08,FL4002,2024/09/04 15:00,2024/09/04 16:30,1.5,ON_TIME,airport-03,airport-04,aircraft-10,flight-04,true
leg-09,FL5001,2024/09/05 06:00,2024/09/05 07:30,1.5,ON_TIME,airport-05,airport-06,aircraft-11,flight-05,false
leg-10,FL5002,2024/09/05 08:00,2024/09/05 09:30,1.5,ON_TIME,airport-06,airport-07,aircraft-11,flight-05,false
leg-11,FL6001,2024/09/06 07:00,2024/09/06 09:00,2.0,ON_TIME,airport-03,airport-04,aircraft-05,flight-06,true
leg-12,FL7001,2024/09/07 06:00,2024/09/07 07:30,1.5,ON_TIME,airport-01,airport-02,aircraft-06,flight-07,false
leg-13,FL7002,2024/09/07 08:00,2024/09/07 09:00,1.0,ON_TIME,airport-02,airport-05,aircraft-07,flight-07,false
leg-14,FL7003,2024/09/07 09:30,2024/09/07 11:00,1.5,DELAYED,airport-05,airport-06,aircraft-08,flight-07,false
leg-15,FL8001,2024/09/08 10:00,2024/09/08 11:30,1.5,ON_TIME,airport-04,airport-07,aircraft-09,flight-08,true
leg-16,FL8002,2024/09/08 12:00,2024/09/08 13:00,1.0,ON_TIME,airport-07,airport-08,aircraft-10,flight-08,true
leg-17,FL8003,2024/09/08 13:30,2024/09/08 15:00,1.5,ON_TIME,airport-08,airport-09,aircraft-11,flight-08,true
leg-18,FL9001,2024/09/09 05:30,2024/09/09 07:00,1.5,ON_TIME,airport-10,airport-01,aircraft-01,flight-09,false
leg-19,FL9002,2024/09/09 07:30,2024/09/09 09:00,1.5,ON_TIME,airport-01,airport-04,aircraft-02,flight-09,false
leg-20,FL9003,2024/09/09 09:30,2024/09/09 11:00,1.5,ON_TIME,airport-04,airport-06,aircraft-03,flight-09,false
leg-21,FL1010,2024/09/10 08:00,2024/09/10 09:30,1.5,ON_TIME,airport-02,airport-03,aircraft-04,flight-10,true
leg-22,FL1011,2024/09/10 10:00,2024/09/10 11:30,1.5,ON_TIME,airport-03,airport-05,aircraft-05,flight-10,true
leg-23,FL1110,2024/09/11 12:00,2024/09/11 13:45,1.75,ON_TIME,airport-06,airport-07,aircraft-06,flight-11,false
leg-24,FL1111,2024/09/11 14:15,2024/09/11 16:00,1.75,DELAYED,airport-07,airport-10,aircraft-07,flight-11,false
leg-25,FL1210,2024/09/12 07:30,2024/09/12 09:00,1.5,ON_TIME,airport-03,airport-05,aircraft-08,flight-12,true
leg-26,FL1211,2024/09/12 09:30,2024/09/12 11:00,1.5,ON_TIME,airport-05,airport-08,aircraft-09,flight-12,true
leg-27,FL1310,2024/09/13 10:00,2024/09/13 11:30,1.5,ON_TIME,airport-04,airport-06,aircraft-10,flight-13,false
leg-28,FL1311,2024/09/13 12:00,2024/09/13 13:30,1.5,ON_TIME,airport-06,airport-09,aircraft-11,flight-13,false
