key,lastUpdateMoment,step,resolutionPercentage,indicator,resolution,key:claim
tracking-logs-01,2024/09/03 08:30,Se ha recibido la reclamación,25,PENDING,,claim-01
tracking-logs-02,2024/09/03 12:00,Se está trabajando en la reclamación,50,PENDING,"",claim-01
tracking-logs-03,2024/09/03 12:00,Se ha resuelto la reclamación,100,ACCEPTED,"Se ofrece una compensación de 300€ por la pérdida del equipaje, de acuerdo con la normativa vigente. Además, se reembolsarán los gastos esenciales hasta un máximo de 100€, presentando los recibos correspondientes",claim-01
tracking-logs-04,2024/09/05 09:30,Se ha recibido la reclamación,25,PENDING,,claim-02
tracking-logs-05,2024/09/05 10:40,Se está trabajando en la reclamación,50,PENDING,,claim-02
tracking-logs-06,2024/09/05 11:00,Se ha resuelto la reclamación,100,REJECTED,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-02
tracking-logs-07,2000/01/01 0:00,Se ha resuelto la reclamación,1,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-03
tracking-logs-08,2000/01/01 0:01,Se ha resuelto la reclamación,2,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-03
tracking-logs-09,2024/12/31 23:59,Se ha resuelto la reclamación,3,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-03
tracking-logs-10,2025/01/01 00:00,Se ha resuelto la reclamación,4,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-03
tracking-logs-11,2024/09/05 11:00,L,5,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-12,2024/09/05 11:01,Lo,6,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-13,2024/09/05 11:02,"Lorem ipsum dolor sit amet,consectetur adipiscin",7,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-14,2024/09/05 11:03,"Lorem ipsum dolor sit amet,consectetur adipiscing",8,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-15,2024/09/05 11:04,โลเร็ม อิปซัม,9,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-16,2024/09/05 11:05,لوريم إيبسوم,11,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-17,2024/09/05 11:06,洛伦·伊普森,12,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-18,2024/09/05 11:07,<marquee>Hacked</marquee>,13,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-19,2024/09/05 11:08,<script>alert(‘Hacked!’);</script>,14,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-20,2024/09/05 11:09,' or 'A' = 'A,15,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-04
tracking-logs-21,2024/09/05 11:10,Se ha resuelto la reclamación,0,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-05
tracking-logs-22,2024/09/05 11:11,Se ha resuelto la reclamación,1,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-05
tracking-logs-23,2024/09/05 11:12,Se ha resuelto la reclamación,99,PENDING,El retraso del vuelo estuvo dentro de los límites permitidos por la normativa vigente y fue causado por circunstancias excepcionales fuera del control de la aerolínea. No se ofrece compensación,claim-05
tracking-logs-24,2024/09/05 11:13,Se ha resuelto la reclamación,16,PENDING,L,claim-04
