key,flightNumber,scheduledDeparture,scheduledArrival,status,key:departureAirport,key:arrivalAirport,key:aircraft,key:flight,draftMode
leg-01,IBX1001,2028/02/29 08:00,2028/02/29 09:00,ON_TIME,airport-01,airport-02,aircraft-01,flight-01,FALSE
leg-02,LHX1002,2028/02/29 10:30,2028/02/29 12:00,ON_TIME,airport-02,airport-03,aircraft-02,flight-01,FALSE
leg-03,RYX2001,2025/01/01 00:00,2025/01/01 10:30,ON_TIME,airport-04,airport-05,aircraft-03,flight-02,TRUE
leg-04,IBX2002,2025/01/01 11:00,2025/01/01 12:30,DELAYED,airport-05,airport-06,aircraft-04,flight-02,TRUE
leg-05,IBX3001,2025/01/01 00:01,2025/01/01 08:45,ON_TIME,airport-07,airport-08,aircraft-07,flight-03,FALSE
leg-06,LHX3002,2025/01/01 09:15,2025/01/01 10:45,ON_TIME,airport-08,airport-09,aircraft-08,flight-03,FALSE
leg-07,RYX4001,2025/09/04 10:00,2025/09/04 14:30,ON_TIME,airport-02,airport-03,aircraft-09,flight-04,TRUE
leg-08,IBX4002,2025/09/04 15:00,2025/09/04 16:30,ON_TIME,airport-03,airport-04,aircraft-10,flight-04,TRUE
leg-09,LHX5001,2200/12/31 03:00,2200/12/31 09:00,ON_TIME,airport-05,airport-06,aircraft-11,flight-05,FALSE
leg-10,LHX5002,2200/12/31 14:00,2200/12/31 23:59,ON_TIME,airport-06,airport-07,aircraft-11,flight-05,FALSE
leg-11,LHX6001,2025/09/06 07:00,2025/09/06 09:00,ON_TIME,airport-03,airport-04,aircraft-05,flight-06,TRUE
leg-12,RYX7001,2025/09/07 06:00,2025/09/07 07:30,ON_TIME,airport-01,airport-02,aircraft-06,flight-07,FALSE
leg-13,IBX7002,2025/09/07 08:00,2025/09/07 09:00,ON_TIME,airport-02,airport-05,aircraft-07,flight-07,FALSE
leg-14,LHX7003,2025/09/07 09:30,2025/09/07 11:00,DELAYED,airport-05,airport-06,aircraft-08,flight-07,FALSE
leg-15,RYX8001,2025/09/08 10:00,2025/09/08 11:30,ON_TIME,airport-04,airport-07,aircraft-09,flight-08,TRUE
leg-16,IBX8002,2025/09/08 12:00,2025/09/08 13:00,ON_TIME,airport-07,airport-08,aircraft-10,flight-08,TRUE
leg-17,LHX8003,2025/09/08 13:30,2025/09/08 15:00,ON_TIME,airport-08,airport-09,aircraft-11,flight-08,TRUE
leg-18,IBX9001,2025/09/09 05:30,2025/09/09 07:00,ON_TIME,airport-10,airport-01,aircraft-01,flight-09,FALSE
leg-19,LHX9002,2025/09/09 07:30,2025/09/09 09:00,ON_TIME,airport-01,airport-04,aircraft-02,flight-09,FALSE
leg-20,RYX9003,2025/09/09 09:30,2025/09/09 11:00,ON_TIME,airport-04,airport-06,aircraft-03,flight-09,FALSE
leg-21,IBX1010,2025/09/10 08:00,2025/09/10 09:30,ON_TIME,airport-02,airport-03,aircraft-04,flight-10,FALSE
leg-22,LHX1011,2025/09/10 10:00,2025/09/10 11:30,ON_TIME,airport-03,airport-05,aircraft-05,flight-10,TRUE
leg-23,RYX1110,2025/09/11 12:00,2025/09/11 13:45,ON_TIME,airport-06,airport-07,aircraft-06,flight-11,FALSE
leg-24,IBX1111,2025/09/11 14:15,2025/09/11 16:00,DELAYED,airport-07,airport-10,aircraft-07,flight-11,FALSE
leg-25,LHX1210,2025/09/12 07:30,2025/09/12 09:00,ON_TIME,airport-03,airport-05,aircraft-08,flight-12,TRUE
leg-26,RYX1211,2025/09/12 09:30,2025/09/12 11:00,ON_TIME,airport-05,airport-08,aircraft-09,flight-12,TRUE
leg-27,IBX1310,2025/09/13 10:00,2025/09/13 11:30,ON_TIME,airport-04,airport-06,aircraft-10,flight-13,FALSE
leg-28,LHX1311,2025/09/13 12:00,2025/09/13 13:30,ON_TIME,airport-06,airport-09,aircraft-11,flight-13,FALSE
